Georgia	Armenia
Turkey	Armenia
Greece	Albania
Kosovo	Albania
North Macedonia	Albania
Montenegro	Albania
France	Andorra
Spain	Andorra
Czech Republic	Austria
Germany	Austria
Hungary	Austria
Italy	Austria
Liechtenstein	Austria
Slovakia	Austria
Slovenia	Austria
Switzerland	Austria
Latvia	Belarus
Lithuania	Belarus
Poland	Belarus
Russia	Belarus
Ukraine	Belarus
France	Belgium
Germany	Belgium
Luxembourg	Belgium
Netherlands	Belgium
Croatia	Bosnia and Herzegovina
Montenegro	Bosnia and Herzegovina
Serbia	Bosnia and Herzegovina
Greece	Bulgaria
North Macedonia	Bulgaria
Romania	Bulgaria
Serbia	Bulgaria
Turkey	Bulgaria
Hungary	Croatia
Montenegro	Croatia
Serbia	Croatia
Slovenia	Croatia
Germany	Czech Republic
Poland	Czech Republic
Slovakia	Czech Republic
Germany	Denmark
Latvia	Estonia
Russia	Estonia
Norway	Finland
Sweden	Finland
Russia	Finland
Germany	France
Italy	France
Luxembourg	France
Monaco	France
Spain	France
Switzerland	France
Luxembourg	Germany
Netherlands	Germany
Poland	Germany
Switzerland	Germany
Russia	Georgia
Turkey	Georgia
Turkey	Greece
North Macedonia	Greece
Romania	Hungary
Serbia	Hungary
Slovakia	Hungary
Slovenia	Hungary
Ukraine	Hungary
United Kingdom	Ireland
San Marino	Italy
Slovenia	Italy
Switzerland	Italy
Vatican City	Italy
Montenegro	Kosovo
North Macedonia	Kosovo
Serbia	Kosovo
Lithuania	Latvia
Russia	Latvia
Switzerland	Liechtenstein
Poland	Lithuania
Russia	Lithuania
Romania	Moldova
Ukraine	Moldova
Serbia	Montenegro
Serbia	North Macedonia
Sweden	Norway
Russia	Norway
Russia	Poland
Slovakia	Poland
Ukraine	Poland
Spain	Portugal
Serbia	Romania
Ukraine	Romania
Ukraine	Russia
Ukraine	Slovakia
